Startup Name,Industry,Country,Funding Stage,Amount Raised (USD),Funding Date,Number of Employees
"Hall, Davis and Huerta",Education,Canada,IPO,532781598.0,2019-01-01,151
Strickland-Miller,Tech,Canada,Series B,39451777.0,2021-09-30,345
Gonzales PLC,SaaS,UK,IPO,552643491.0,2025-09-08,75
Armstrong-Hubbard,Gaming,Germany,Seed,382693.0,2023-11-04,81
"Hodge, Stevenson and Weaver",E-commerce,France,Series A,4919065.0,2025-11-05,308
Dorsey and Sons,SaaS,France,IPO,978195913.0,2019-06-07,448
Duncan-Zimmerman,AI,Germany,IPO,365379035.0,2016-12-17,379
Chen-Rodriguez,Gaming,India,Series B,20852857.0,2017-07-01,487
Young-Blair,SaaS,Netherlands,Series C,107203161.0,2016-03-05,310
"Roach, Tran and Arnold",SaaS,USA,IPO,419579525.0,2025-08-27,35
"Moreno, Perry and Moses",Gaming,Germany,IPO,542703499.0,2022-02-28,125
Beard-Cruz,Finance,Canada,Series A,7862923.0,2016-03-09,469
"Arnold, Stewart and Williams",Gaming,Canada,Series A,9243732.0,2025-04-22,437
Wilkinson LLC,Gaming,USA,IPO,792830248.0,2023-04-03,291
Cunningham-Martin,Tech,UK,Series C,82989765.0,2016-04-26,70
"Flores, Wilson and Bell",Education,Germany,Seed,462305.0,2023-09-01,260
Glover Inc,SaaS,Netherlands,IPO,998839121.0,2019-04-14,270
Arias-Ortiz,SaaS,UK,Series C,156562154.0,2025-09-18,446
Olson PLC,Gaming,India,IPO,329560499.0,2018-11-28,447
Wright Inc,AI,UK,Series A,1053623.0,2025-02-11,101
English-Nguyen,Gaming,USA,Series C,176635040.0,2021-05-11,248
Thompson-Wilson,Health,Canada,Series B,32934690.0,2022-08-15,437
Mayer Inc,AI,UK,IPO,347697255.0,2022-08-22,84
Williams Inc,Gaming,France,Series A,4993085.0,2020-12-20,448
Webb Ltd,AI,Australia,Series B,11238789.0,2025-09-15,330
Richards-Pope,Health,Netherlands,Series C,116646711.0,2020-01-18,226
Stone PLC,Health,France,Seed,57681.0,2021-05-17,356
"Reynolds, Davies and Dunn",Health,Australia,Series B,18132362.0,2023-12-15,184
Carter LLC,Health,France,Series C,136442270.0,2022-07-10,109
Campbell-Zimmerman,Health,Netherlands,Seed,318459.0,2018-02-13,30
Chase-Galloway,Health,Australia,Series A,8350629.0,2021-04-02,184
"Campbell, Cox and Harmon",AI,USA,Series C,175249592.0,2025-12-17,438
"Barton, Sanders and Grant",AI,Germany,Series C,161206692.0,2023-08-19,284
Johnson LLC,Health,UK,Seed,400129.0,2016-01-15,339
"Riley, Taylor and Barron",E-commerce,Canada,Series A,5699204.0,2016-08-20,283
Reyes Inc,Health,France,IPO,714228590.0,2022-03-08,484
"Downs, Mills and Meadows",E-commerce,Canada,IPO,983532297.0,2017-03-08,132
Wallace-Petty,E-commerce,India,IPO,576729246.0,2021-07-24,81
"Edwards, Yates and Zimmerman",Education,France,Series A,8891825.0,2016-07-10,265
Estes Inc,Health,Australia,Series A,5847416.0,2022-03-07,365
Barnes-Ford,Health,UK,IPO,215142697.0,2018-10-17,207
Hobbs and Sons,Finance,India,IPO,527692912.0,2021-07-24,167
Jones-Day,E-commerce,Netherlands,Series C,100709345.0,2024-07-18,139
Proctor-Brown,Education,Australia,Series A,2912096.0,2019-10-08,40
"White, Torres and Peterson",Tech,Germany,Series A,3324082.0,2023-05-12,179
Hart Inc,Gaming,USA,Series B,43541848.0,2017-09-13,112
"Daniels, Potts and Craig",AI,UK,Series C,60021744.0,2020-07-11,278
Ashley LLC,Education,India,Series B,11398524.0,2019-09-21,34
Travis-Hale,Gaming,France,Series C,167410364.0,2023-08-10,223
Davis-Massey,AI,Canada,Series A,8538779.0,2017-07-21,241
Franklin and Sons,Education,UK,Series B,48708963.0,2020-01-15,41
Crawford-Lewis,Finance,UK,Series C,117225943.0,2021-09-18,284
Manning-Marsh,Gaming,USA,Series C,175884643.0,2018-03-09,283
"Snyder, Olson and Williams",Education,Canada,IPO,855039585.0,2023-10-29,446
Hill-Hampton,E-commerce,Australia,Series A,4246341.0,2022-11-11,296
Green LLC,Tech,France,IPO,498179602.0,2019-11-04,302
"Perry, Ferrell and Donovan",Gaming,France,IPO,509491752.0,2022-09-26,88
Cochran-Hayes,Health,India,Series B,30633216.0,2017-04-05,337
Spencer-Allison,Education,India,Series A,7562239.0,2025-11-28,118
"Pena, Brewer and Salazar",Tech,Germany,IPO,751262456.0,2017-08-15,82
Maynard Ltd,Health,Canada,Series B,24110374.0,2024-05-18,278
Adams Ltd,E-commerce,USA,Series B,22566744.0,2017-02-28,487
"Jackson, Moreno and Mccoy",Gaming,Germany,Series C,195021316.0,2017-09-02,132
"Huff, Sims and Franklin",SaaS,Australia,Series C,58976043.0,2016-12-28,121
Torres PLC,Health,India,IPO,466407344.0,2020-01-01,471
Ortiz-Wolfe,E-commerce,France,Series C,73447622.0,2022-10-05,434
"Berger, Murray and Fischer",Gaming,France,Series C,50471295.0,2016-10-26,254
"Johnson, Harmon and Cohen",Finance,Australia,Seed,364990.0,2020-09-09,45
"Simpson, Salazar and Vega",Health,USA,Series C,164032138.0,2019-07-07,491
"Simmons, Stephens and King",Tech,UK,Seed,375358.0,2020-04-16,286
Burgess-Smith,Gaming,Germany,Seed,392801.0,2020-10-10,378
"Ellis, Mathews and Ellis",AI,Australia,Series B,17996648.0,2017-12-08,383
"Rogers, Maxwell and Jones",E-commerce,Germany,Seed,243310.0,2017-02-04,148
"Johnson, Lewis and Perez",SaaS,Australia,Seed,395873.0,2021-01-08,326
Allen-Rivera,E-commerce,Australia,Series B,14529612.0,2021-04-24,398
Fowler-Smith,SaaS,Canada,Seed,56336.0,2017-09-28,270
Lawson Ltd,Education,USA,Seed,335854.0,2022-10-16,299
"Williams, Vaughan and Smith",SaaS,Australia,Series C,195219312.0,2022-06-05,457
"Williamson, Esparza and Walters",Gaming,India,Series B,30618917.0,2021-11-25,342
"Bowman, Church and Patel",Gaming,France,IPO,443659257.0,2020-12-21,420
Edwards-Knox,AI,UK,Series B,11797885.0,2025-03-21,108
Sutton and Sons,SaaS,France,Seed,147629.0,2019-08-04,297
"Jones, Stewart and Garner",AI,UK,Series B,12687523.0,2023-02-04,437
James Inc,Health,India,Seed,271647.0,2019-03-14,290
"Smith, Johnson and Martinez",E-commerce,Australia,Series B,26583431.0,2020-02-02,342
Rogers-Dominguez,AI,India,IPO,895291772.0,2019-10-25,326
"Miller, Hill and Johnson",SaaS,Germany,Series B,48816581.0,2023-01-13,355
"Schmidt, Jackson and Thompson",Gaming,UK,Series C,198795074.0,2019-01-02,5
Cline-Stafford,Education,India,Series B,28115234.0,2016-01-10,153
Landry LLC,Tech,Netherlands,IPO,936248043.0,2018-10-31,286
Newman-Mills,Gaming,UK,IPO,491022843.0,2025-05-13,439
Warren Group,AI,Australia,Seed,218955.0,2024-09-06,311
"Brown, Fields and Garza",Health,Canada,Series B,39888785.0,2018-10-05,374
Hull-Skinner,Health,France,Seed,476025.0,2024-10-11,479
"Martinez, Williams and Mcbride",SaaS,USA,Series C,61944060.0,2023-02-20,173
Howard-Davis,SaaS,Netherlands,Series A,8706465.0,2022-04-03,33
"Woodward, Morales and Barrett",Gaming,France,Series A,8119105.0,2024-01-11,466
James Group,Health,Germany,IPO,797040670.0,2022-06-10,175
"Nguyen, Clark and Jefferson",Gaming,UK,Series B,20355155.0,2023-04-07,482
Coleman-Perkins,Tech,India,Series B,21448726.0,2022-07-11,214
Anderson-Johns,AI,India,Seed,160703.0,2023-04-23,407
Bates PLC,Health,Germany,Series A,4948712.0,2021-02-22,326
Freeman Ltd,AI,India,Series A,5451082.0,2025-10-30,342
"White, Pearson and Patterson",Tech,USA,IPO,471556458.0,2017-11-26,426
Parrish Inc,Health,Germany,Series A,4211675.0,2018-11-09,98
Flynn LLC,Finance,Germany,IPO,287071864.0,2020-07-13,250
Walker and Sons,Health,France,IPO,455530323.0,2017-12-09,492
"Bryant, Mitchell and Vasquez",Education,USA,Seed,100329.0,2022-06-21,132
Stewart Ltd,Gaming,Canada,Series A,8467901.0,2020-11-13,37
Rich-Brown,E-commerce,Canada,IPO,523676215.0,2020-06-04,299
Weaver-Hays,Gaming,USA,Series C,60535117.0,2019-10-22,94
Marsh-Sanchez,SaaS,USA,Series C,196400904.0,2018-10-23,237
"Moore, Thompson and Curry",Finance,USA,Series B,13624045.0,2025-05-27,374
Haynes PLC,E-commerce,Australia,Series C,133507413.0,2025-02-23,90
Miller-Anderson,Finance,Netherlands,IPO,489759917.0,2018-10-12,254
Wilson Inc,Finance,Netherlands,Series A,1079477.0,2022-09-29,163
Klein-Cardenas,Health,Australia,Seed,140503.0,2022-12-10,132
Evans LLC,Tech,India,Series B,47249031.0,2022-01-30,423
Chandler-Davies,Gaming,India,Seed,413075.0,2021-07-11,132
Gonzalez-Luna,Gaming,Canada,Series B,17259121.0,2018-08-04,161
Burgess-Mathis,E-commerce,Netherlands,Series B,45768423.0,2025-04-06,466
"Moore, Lee and Beasley",AI,USA,Series A,3309003.0,2024-09-11,219
"Thomas, Lewis and Rojas",Education,France,IPO,766465971.0,2022-07-05,152
"Soto, Lawson and Harrison",AI,Germany,Series B,24948721.0,2018-05-21,438
Whitney Group,Tech,Canada,Series B,38897098.0,2023-01-31,82
"Hodges, Massey and Hardy",Tech,France,Series B,31496076.0,2021-01-06,270
"Blanchard, Dorsey and Gilbert",Tech,UK,IPO,410526032.0,2024-01-10,362
"Jones, Owens and Hodges",Tech,Canada,Series A,7679280.0,2018-01-28,426
"Miller, Farmer and Ramos",E-commerce,France,Series C,180742086.0,2020-10-23,498
Watkins Ltd,Tech,India,IPO,874476947.0,2018-07-21,356
"May, Kelly and Martinez",Tech,Australia,Series C,185191329.0,2024-05-28,209
"Vasquez, Vaughan and Garcia",SaaS,Australia,Series A,7858688.0,2020-09-23,96
Stephens-Martin,AI,Australia,Series C,182677921.0,2023-12-11,192
Dixon LLC,E-commerce,India,Series B,29132230.0,2018-02-14,174
Wilkinson-Harrison,Gaming,Australia,Series C,70432936.0,2018-09-03,419
Bell-King,Health,Netherlands,Seed,244839.0,2021-01-04,376
Williams-Collier,SaaS,Germany,Series A,6687012.0,2019-08-24,342
"Floyd, Romero and Ramirez",SaaS,USA,Series C,63064750.0,2016-11-15,445
Zhang and Sons,Education,France,Series B,15189991.0,2024-10-25,78
Bryant-Sanchez,E-commerce,Australia,Seed,354642.0,2020-09-27,179
Bryant Group,Finance,France,Series A,1104062.0,2017-05-21,320
"Mccann, Wheeler and Johnson",Tech,Australia,IPO,852743003.0,2016-08-27,61
"Buchanan, Mcdaniel and Prince",SaaS,India,IPO,466381751.0,2018-01-12,429
Thompson Inc,E-commerce,USA,IPO,483682862.0,2017-12-19,347
Warren PLC,Health,Germany,Series B,39044523.0,2020-02-03,107
Ryan-Clay,Health,USA,IPO,781990740.0,2023-08-10,460
Dillon-Farrell,AI,USA,IPO,746871767.0,2022-04-28,335
Mcdowell and Sons,E-commerce,Netherlands,Series A,2646516.0,2025-03-26,411
Ramirez Group,Tech,Australia,Series B,43237401.0,2020-12-15,267
Goodman Group,Education,USA,Series B,21500985.0,2020-07-18,396
Jackson and Sons,Tech,France,Series A,7583814.0,2020-05-28,185
"Walker, Flowers and Robinson",Tech,France,Seed,497401.0,2016-06-06,345
"Simpson, Morris and Dunn",Finance,UK,Series B,21197272.0,2026-01-03,247
Moody PLC,Education,France,Series B,11000166.0,2019-04-09,461
"Carter, Carter and Coleman",Education,Netherlands,IPO,618205440.0,2025-01-08,8
"Craig, Soto and Booth",Tech,India,IPO,559435354.0,2018-09-08,364
Clark LLC,Gaming,Netherlands,Series C,115094223.0,2016-06-15,321
Miller LLC,Finance,Canada,Seed,410761.0,2020-06-22,250
Bird-Richards,Tech,Netherlands,Series B,16301143.0,2017-10-15,48
Diaz Ltd,E-commerce,France,Seed,254158.0,2025-05-03,480
Lam PLC,E-commerce,UK,Series C,125332204.0,2020-01-18,412
"Cervantes, Gomez and Gonzalez",Tech,France,Series B,42594784.0,2020-11-28,80
"Young, Marsh and Ford",Health,Netherlands,Series A,7420831.0,2019-12-19,101
May Inc,E-commerce,France,Series A,8690831.0,2023-02-09,68
"Mccoy, Morrow and Nguyen",AI,India,Series A,7596792.0,2025-03-02,414
Mendoza-Brooks,Finance,UK,Series C,168077980.0,2021-08-23,452
"Mcbride, Neal and Bowman",Education,Germany,Series B,24309563.0,2020-08-16,486
Escobar-Hoffman,Tech,Canada,IPO,328301375.0,2018-01-21,103
"Hansen, Morales and Garcia",Education,UK,Series A,5785713.0,2016-08-11,35
Perez-Miller,E-commerce,France,Series A,8339110.0,2017-04-01,474
"Golden, Mccarty and Wilson",Health,Canada,Series A,7432759.0,2024-03-08,467
"Barker, Klein and Johnson",Finance,Canada,Series C,149891955.0,2019-09-21,209
Kim-James,Health,India,Series C,134116292.0,2023-05-07,67
Gray-Jackson,E-commerce,India,Seed,110366.0,2016-06-21,125
Hernandez LLC,Health,France,IPO,776860493.0,2024-02-02,325
"Snyder, Thomas and Castillo",AI,UK,Seed,91289.0,2017-09-28,372
Brown-Hogan,SaaS,USA,Series A,4261097.0,2023-03-04,65
Morgan-Martin,Health,India,Series C,128606424.0,2017-06-10,446
"Brown, Burns and Valencia",Gaming,India,Series C,184050360.0,2019-02-07,422
"Henderson, Mccoy and Mccall",Health,France,Series A,4983117.0,2017-03-10,228
"Dillon, Madden and Carney",Health,Germany,Seed,360173.0,2016-04-04,394
Mann-Berry,SaaS,UK,Seed,382550.0,2023-03-19,401
Schneider-Evans,Gaming,France,Seed,290344.0,2017-09-27,266
Mckinney-Cochran,SaaS,UK,Series A,8757057.0,2018-08-08,25
Scott-Juarez,Finance,India,IPO,431721087.0,2025-09-08,53
Franklin-Little,Health,Australia,Series B,26110084.0,2022-03-14,314
"Beard, Middleton and Mitchell",Tech,France,Series A,9648527.0,2023-10-21,166
Jones-Schaefer,SaaS,USA,Seed,183677.0,2019-05-30,101
"Cox, Fitzpatrick and Frank",E-commerce,Canada,Series A,5248149.0,2023-10-09,39
Soto Inc,SaaS,UK,Series A,9028372.0,2024-04-24,453
Anthony-Maldonado,Tech,India,IPO,997855688.0,2020-10-05,489
Johnson Ltd,E-commerce,Germany,Seed,152838.0,2018-07-21,343
"Johnson, Gonzalez and Palmer",AI,India,Series B,34371115.0,2024-04-28,256
"Bass, Neal and Harris",Health,USA,Series B,33229141.0,2018-05-24,335
"Gomez, Foster and Stanton",AI,UK,Series A,6664453.0,2023-08-15,41
"Manning, Phillips and Thompson",AI,Netherlands,Series A,1186419.0,2021-08-30,476
"Williamson, Wilson and Warren",Education,Canada,Series A,4817293.0,2023-12-12,423
"Banks, Martin and Hicks",Finance,Netherlands,Series B,46716497.0,2017-07-14,73
Hughes PLC,SaaS,Germany,Series A,3151508.0,2019-10-10,338
"White, Gould and Beltran",Tech,USA,Seed,191842.0,2022-09-29,336
Morales-Price,Finance,India,Series C,127965761.0,2025-12-15,311
Tanner-Dennis,Health,USA,IPO,898236769.0,2019-01-11,227
"Barton, Gallagher and Neal",Health,USA,Series A,4506961.0,2017-10-18,188
Jones-Knight,Health,Canada,Series C,150478880.0,2023-02-23,492
Howard LLC,Health,USA,Series C,133292175.0,2025-01-06,210
"Miller, Miller and Smith",Health,Australia,Series A,9122992.0,2025-08-31,325
"Hardin, Gonzalez and Ellis",SaaS,Australia,Series C,129458068.0,2023-04-13,107
"Wright, Ramirez and Hunt",Gaming,Australia,Series B,17594682.0,2019-09-08,144
Salazar and Sons,Health,Netherlands,Series A,4221630.0,2021-10-06,299
Morris-Guzman,E-commerce,India,Series C,90141146.0,2021-11-22,11
Mckay-Sherman,Finance,Germany,Series B,45998315.0,2020-12-04,360
Barnes Group,Health,Germany,Series B,28246333.0,2024-07-20,485
"Baker, Williams and Adams",Finance,India,Series B,29988465.0,2022-06-29,247
"Randolph, Monroe and Craig",Education,Canada,Seed,236326.0,2023-12-22,403
"Anderson, Benson and Morales",E-commerce,Canada,Series A,3610362.0,2021-05-08,34
"Jones, Compton and Cook",Education,India,Series C,160643653.0,2018-01-27,382
"Moore, Walton and Pearson",E-commerce,France,Series A,1408726.0,2022-01-15,359
Lewis-Whitaker,E-commerce,Australia,Series B,11863614.0,2025-03-09,146
Lawson and Sons,SaaS,Netherlands,IPO,267967978.0,2025-08-25,330
Perez LLC,E-commerce,India,Series B,23923364.0,2023-02-10,333
Brady Ltd,Gaming,Netherlands,Series C,184115729.0,2019-07-26,293
"Walker, White and Price",Education,UK,Series C,98467214.0,2017-04-26,116
Roman-Brooks,SaaS,UK,IPO,313801151.0,2019-10-31,321
"Raymond, Ferguson and West",SaaS,Germany,IPO,683731251.0,2025-07-30,102
Chavez-Harris,Education,USA,IPO,635591258.0,2021-06-27,225
Preston-Glass,E-commerce,Australia,Series C,109479045.0,2023-09-12,336
Torres-Martin,SaaS,Canada,Series C,185035859.0,2022-06-25,14
"Clarke, Rogers and Sanchez",Gaming,Germany,Seed,349027.0,2016-06-18,78
Velazquez and Sons,Tech,Netherlands,IPO,539840104.0,2025-05-31,85
"Ortiz, Gray and Roberts",AI,Netherlands,IPO,984211627.0,2021-11-03,494
Crawford LLC,Education,Germany,Series C,92216765.0,2018-06-25,146
"Schmidt, Davis and Wallace",Education,Germany,Seed,355512.0,2017-12-20,498
Ellis-Martinez,Finance,Netherlands,Series B,36943710.0,2021-11-27,28
Santana Ltd,AI,Netherlands,IPO,398617345.0,2017-01-29,143
Davies-Garcia,Finance,USA,IPO,333261604.0,2019-06-17,391
Henderson-Williams,Tech,UK,Series A,9126973.0,2024-10-03,28
Young-Torres,E-commerce,UK,Series C,152353386.0,2021-07-02,70
Smith-Larson,AI,Germany,Series A,2375159.0,2025-08-03,8
Stark-Miller,Education,France,Series C,175020607.0,2017-06-29,343
Torres Inc,Education,UK,IPO,350222258.0,2022-07-31,287
Solis-Hernandez,AI,Germany,Seed,272597.0,2020-07-15,203
Bradshaw and Sons,Education,Germany,Seed,444546.0,2022-02-17,195
"Velazquez, Shaw and Leon",Education,Canada,Seed,482504.0,2025-03-12,319
"Evans, Tate and Harris",Health,Australia,Series B,37403527.0,2018-06-07,477
Huff LLC,AI,India,IPO,471292301.0,2016-07-18,300
"Leonard, Reynolds and Barnes",Health,Australia,Series B,23768947.0,2020-05-13,281
"Ford, Wood and Norton",Education,Netherlands,Seed,70117.0,2022-04-08,162
Ward LLC,Tech,India,Seed,163968.0,2025-04-20,497
"Robertson, Davis and Hurst",Gaming,Canada,Series B,26746231.0,2018-07-05,109
Clark Group,Finance,Canada,IPO,819124269.0,2019-03-13,239
"Henry, Bridges and Mendoza",SaaS,UK,Series A,4230981.0,2018-01-09,281
Flowers Inc,AI,Australia,Series B,40484698.0,2024-01-01,85
Williams Group,Tech,Australia,Series B,24643103.0,2021-10-14,242
Rosales-Meyer,Education,Germany,IPO,645890519.0,2025-08-02,397
"Mata, Sanchez and Cole",E-commerce,Australia,Series A,5262904.0,2019-04-25,256
"Hughes, Hutchinson and Fischer",AI,USA,Series A,2338616.0,2021-05-26,200
Adams-Roberts,Education,India,Seed,342292.0,2025-03-09,94
"Marshall, Barton and Young",Education,USA,Series A,4562535.0,2017-04-15,341
Kennedy PLC,Tech,Germany,Series C,191962737.0,2019-12-11,196
Williams-Smith,Tech,UK,IPO,309122894.0,2020-06-08,315
Spence-Marquez,Finance,Canada,IPO,748659015.0,2018-05-30,192
Giles Inc,Education,India,Series B,21399089.0,2024-11-13,108
Griffin-Nguyen,Finance,Canada,Series C,111717745.0,2021-01-21,283
Dawson Inc,Finance,India,IPO,437298831.0,2022-04-21,291
Guerra-Allen,Education,USA,IPO,373206102.0,2020-05-01,386
Livingston-Villegas,Health,India,Series B,37399332.0,2024-06-29,309
Robinson-Bush,AI,UK,Series C,114697873.0,2022-10-18,321
Smith-Berry,SaaS,UK,Series C,93252458.0,2016-07-09,500
"Burnett, Nelson and Maynard",E-commerce,UK,Seed,176348.0,2016-03-23,141
"Martin, Day and Hayes",Education,Germany,IPO,761747794.0,2022-02-20,352
Zuniga-Adams,Finance,India,IPO,956325842.0,2016-02-28,250
"Bradley, Cortez and Smith",SaaS,Canada,IPO,895891600.0,2025-08-05,391
Vargas-Turner,AI,UK,Series C,74018799.0,2019-06-07,177
Johnson-Perry,Education,UK,Series B,24307433.0,2018-11-20,277
"Brown, Floyd and James",E-commerce,France,Series C,125517999.0,2023-02-18,421
Kim LLC,Tech,India,Series C,197327952.0,2023-02-13,477
"Ellison, Gomez and Romero",Gaming,Canada,Seed,141555.0,2018-03-12,70
"Lucas, Duncan and Lewis",Education,UK,Series B,34514107.0,2019-12-02,317
Oconnor-Stevens,Tech,UK,IPO,490532539.0,2024-07-13,452
Marsh-Mason,SaaS,USA,Series B,29195835.0,2024-11-20,384
Hernandez Ltd,Finance,USA,Series C,57778623.0,2020-06-17,190
"Wagner, Neal and Miller",Gaming,India,Series B,30374887.0,2019-11-30,450
Rice Inc,Finance,Canada,Series A,4775336.0,2025-06-13,136
"Meyer, Nunez and Sloan",AI,UK,IPO,339070819.0,2019-12-30,74
Roy-Woods,AI,Germany,Series B,25349107.0,2020-10-15,259
"Sanchez, Powers and James",Tech,Australia,Series C,189454957.0,2023-11-05,47
"Taylor, Bates and Myers",Education,USA,IPO,999966985.0,2018-06-06,174
"Perry, Scott and Malone",SaaS,Australia,Series C,63906464.0,2023-08-04,115
"Medina, Walton and Carpenter",Gaming,France,Series B,43068061.0,2022-02-08,95
Ford-Ayala,Gaming,Australia,Series C,130356204.0,2020-08-25,125
Lewis Group,Finance,France,IPO,318360402.0,2019-07-25,430
Briggs and Sons,AI,USA,IPO,364568955.0,2024-09-05,418
Gonzalez-Watts,AI,Germany,IPO,395547886.0,2021-03-25,494
Young-Gardner,Health,India,IPO,539399411.0,2025-06-22,27
Gill-Melendez,E-commerce,USA,Series C,71155517.0,2020-08-20,294
Brown LLC,Tech,France,Series B,44467138.0,2020-10-28,204
Alvarez Group,E-commerce,USA,Series A,8673568.0,2021-04-18,80
Griffin-Hanson,SaaS,India,Seed,167992.0,2020-02-18,246
Ellis and Sons,Tech,Germany,Series B,47834274.0,2018-05-21,212
"Russo, Juarez and Bailey",AI,Germany,Series C,95755762.0,2016-02-11,115
"Sparks, Williams and Boyer",Tech,Netherlands,IPO,861945949.0,2024-09-15,295
"Schmitt, Smith and Huffman",Education,India,Series B,20657335.0,2025-11-10,328
Smith-Gonzalez,Education,Canada,Series C,167939768.0,2022-06-01,407
Johnson-Davis,Tech,USA,Series B,21037409.0,2021-02-10,7
Brooks and Sons,AI,Germany,IPO,810016040.0,2019-08-28,435
Ferrell-Hutchinson,Finance,UK,Series B,44560499.0,2024-04-22,415
Guerra PLC,SaaS,USA,Series B,10131436.0,2025-01-20,420
"Joyce, Rhodes and Gordon",SaaS,Australia,Series C,139631738.0,2017-12-04,100
"Hansen, Best and Lopez",Finance,India,Series B,38894939.0,2019-06-26,52
"Mcintyre, Bell and Young",Health,India,Series A,8488633.0,2018-02-27,453
"Alexander, Wilson and Fowler",SaaS,Netherlands,Series C,130598477.0,2016-06-27,369
"Hudson, Carroll and Perkins",Gaming,UK,IPO,643165862.0,2016-09-09,118
Oconnor-Mccarthy,Gaming,Canada,Series A,3715414.0,2023-05-08,455
Andrews LLC,SaaS,Australia,Seed,100327.0,2020-08-13,59
Martinez-Barber,Education,USA,Series A,9596132.0,2017-06-04,430
Martin-Chang,SaaS,Netherlands,Series C,177290303.0,2023-05-09,102
Wilson PLC,E-commerce,USA,Seed,359478.0,2023-12-30,456
"Jones, Owens and Phillips",Health,UK,Series C,189945129.0,2021-02-12,132
Pena-Taylor,SaaS,UK,IPO,460237956.0,2019-02-02,159
"Brewer, Evans and Mercado",Education,Germany,Series B,47135599.0,2023-03-27,235
"Gomez, Sanders and Green",Tech,France,Series A,8403625.0,2017-02-15,92
Hansen-Davis,Health,UK,Series B,10138915.0,2025-11-14,36
Vega LLC,Education,Australia,Seed,418393.0,2020-07-04,213
Phillips-Wright,Gaming,France,Series B,31638188.0,2020-11-15,454
Sanders-Cook,SaaS,USA,Seed,401092.0,2016-03-25,351
King-Lowe,Gaming,Australia,Series B,14562043.0,2019-03-06,110
"Morris, Baker and Lee",Finance,USA,Series A,2430068.0,2020-02-13,19
"Wolfe, Harris and Davis",E-commerce,USA,IPO,941059640.0,2022-12-30,179
Cameron PLC,Health,Australia,IPO,261018853.0,2024-02-13,20
"King, Smith and Butler",Tech,France,Series C,130218114.0,2023-12-21,221
Hayden LLC,Health,Netherlands,Series C,177797148.0,2019-06-24,380
Rodriguez-Garner,SaaS,India,IPO,231033589.0,2022-02-12,40
"Riley, Smith and Moss",AI,USA,Series C,62291677.0,2017-12-21,294
Higgins Ltd,Gaming,Germany,Series C,50295499.0,2016-12-10,223
Tran-Marsh,Education,France,Series B,45043155.0,2021-08-05,33
Gomez Group,Education,UK,IPO,772909919.0,2024-10-08,260
Reed Group,Health,Canada,Series B,31059686.0,2025-03-29,201
Black and Sons,Tech,France,Series B,13285922.0,2017-01-19,408
Meza Ltd,AI,Netherlands,Seed,466859.0,2017-02-03,38
"Howell, Johnson and Ramirez",Finance,Netherlands,Series B,16123415.0,2023-01-12,241
Clark-Torres,Gaming,Canada,Seed,189313.0,2018-03-04,346
"Rangel, Davis and Warner",AI,France,IPO,603570461.0,2022-08-27,247
"Dean, Hudson and Johnson",E-commerce,UK,Series A,3699003.0,2022-08-24,460
"Short, Stewart and Johnson",Finance,France,IPO,836993155.0,2019-07-18,349
"Phillips, Bruce and Perez",Finance,USA,Series C,68517537.0,2025-05-17,480
"Robinson, Andrade and Mueller",Finance,Germany,Series C,158340206.0,2017-05-08,286
Freeman-Fleming,Gaming,Australia,IPO,637218548.0,2021-09-27,88
Frye LLC,E-commerce,Germany,Series A,2388795.0,2018-06-12,309
Benson-Roberts,Education,India,Seed,330956.0,2018-10-04,254
"Gilbert, Cobb and Osborne",SaaS,Netherlands,Series B,22023875.0,2024-06-22,460
Palmer-Wagner,Finance,Canada,IPO,649226296.0,2016-05-02,117
"Murphy, Guerra and Mcmahon",Gaming,USA,Series C,168957510.0,2018-09-15,260
"Burns, Johnson and Schmidt",SaaS,USA,IPO,702746258.0,2023-01-29,450
Ford-Willis,AI,UK,Series A,2727783.0,2023-03-08,470
Henson-Smith,E-commerce,Netherlands,Series A,1840516.0,2023-06-15,451
Dunn Group,AI,Germany,Seed,128976.0,2019-09-16,336
Guzman and Sons,Gaming,Netherlands,Series A,1267816.0,2025-01-25,417
"Kirk, Ortega and Campbell",AI,Netherlands,Seed,63841.0,2024-12-27,87
Bennett-Burgess,Education,France,Series C,55613463.0,2023-10-25,382
Singleton-Adams,Tech,UK,Series B,12128814.0,2016-12-26,382
Savage-Green,Gaming,France,IPO,956844629.0,2024-10-26,221
"Dunn, Gutierrez and Mathis",Gaming,Germany,Seed,196920.0,2022-02-10,118
Watson PLC,Education,Canada,Seed,185888.0,2025-03-16,42
"Collins, Peterson and Christensen",Finance,USA,Series A,7775966.0,2019-11-07,377
Harris Group,Finance,Germany,IPO,479452112.0,2022-06-17,478
Pearson-Stewart,E-commerce,UK,Series A,9497369.0,2024-10-24,87
Brooks-Hanna,AI,UK,Series B,39705507.0,2020-07-10,45
Booth-Wallace,E-commerce,Canada,IPO,858684411.0,2020-08-25,85
Ross-Campbell,SaaS,UK,Series A,3832749.0,2021-12-25,446
Brown Inc,Health,Australia,Seed,156848.0,2024-05-19,292
Hamilton Group,SaaS,USA,Series A,6424306.0,2025-12-07,471
Rasmussen PLC,Finance,India,IPO,262971330.0,2020-05-22,360
Shepard and Sons,E-commerce,Australia,Series A,6308208.0,2025-05-03,64
Vaughan-Brooks,AI,Netherlands,Series A,8806817.0,2019-01-06,24
